XS (b),dXS (b),Ea (eV),dEa (eV)
2.265600000000000e-01,3.663790250764910e-02,7.198306746392870e+06,1.439661349278574e+04
2.256000000000000e-01,3.653551307974202e-02,7.225321309465691e+06,1.445064261893138e+04
2.180100000000000e-01,3.544063936443585e-02,7.274349721133659e+06,1.454869944226732e+04
2.435400000000000e-01,3.961154792431117e-02,7.323385779154038e+06,1.464677155830808e+04
2.651200000000000e-01,4.318562872808500e-02,7.375419207320058e+06,1.475083841464012e+04
2.675400000000000e-01,4.356787785697164e-02,7.375419207320058e+06,1.475083841464012e+04
2.586400000000000e-01,4.235828879640913e-02,7.424455265340437e+06,1.484891053068087e+04
2.729500000000000e-01,4.483825580907447e-02,7.473483677008404e+06,1.494696735401681e+04
2.739200000000000e-01,4.510261588688621e-02,7.493501827623928e+06,1.498700365524786e+04
2.672900000000000e-01,4.440458837732877e-02,7.545535255789948e+06,1.509107051157990e+04
2.465200000000000e-01,4.162838125894400e-02,7.594563667457915e+06,1.518912733491583e+04
2.539500000000000e-01,4.327781676563641e-02,7.643592079125882e+06,1.528718415825176e+04
3.403100000000000e-01,5.702684841511058e-02,7.696588947695858e+06,1.539317789539172e+04
3.932000000000000e-01,6.543362930481543e-02,7.719604468457022e+06,1.543920893691404e+04
3.889100000000000e-01,6.480459316560824e-02,7.724651061049170e+06,1.544930212209834e+04
3.153600000000000e-01,5.501323293317708e-02,7.821683273161851e+06,1.564336654632370e+04
1.931700000000000e-01,4.357016309173056e-02,7.992808640150171e+06,1.598561728030034e+04
